tf_target	interaction
KLF2_TAZ	0.8878951672529918
HSF2_ZFP91	0.8878957610347447
PBX1_MORF4L2	0.8878962531256499
MEF2D_POLE3	0.887898084213787
MEF2D_GSTM4	0.8878981604881473
MAX_TMEM184B	0.8878982497533767
ELF1_RPS16	0.8878983163856463
SRF_NCOA4	0.8878984130392066
TFDP1_PTPN11	0.8878991163615062
SP1_FADS3	0.887899156956435
ATF7_SLC2A4	0.887899390331143
MYC_IDH3G	0.8878994168127698
MAX_EPB41L1	0.8879008604525713
KLF2_MRPL14	0.887901799916625
HSF2_POLR2C	0.8879020045376008
GATA4_LEPROTL1	0.887902035636616
ATF3_APRT	0.8879023250299248
MYC_PPP4C	0.8879032466645942
NFIX_ACAT1	0.8879041919687216
HSF2_BAX	0.8879045136972546
SIX5_TOM1L2	0.8879056588878433
NFIX_NAXE	0.8879057631421138
PBX2_RAB1B	0.8879058031415142
PBX3_C7	0.8879060052795424
BHLHE40_BGN	0.8879063817849022
E2F4_PSMG3	0.8879067703318717
SRF_CLEC3B	0.8879077188977081
MEF2C_HSPA4	0.8879080476139144
SRF_PPP1R14C	0.8879084501105053
NR4A1_SLC6A8	0.8879087056794718
FOS_UQCR10	0.8879088287853856
SP2_FYCO1	0.8879089971716982
RFX5_TMEM127	0.8879094220081649
ZFX_AP3D1	0.8879095172662249
FOS_SAMD4A	0.8879095975012306
SP100_EGR1	0.8879102543116324
FOXN3_GNAS	0.8879106516234306
MEF2D_CLCN6	0.8879111176031887
ATF2_KCNIP2	0.887911715429303
GATA4_SNAPIN	0.8879120018929368
FOXJ3_MRPL28	0.8879122466182803
MYC_MAFK	0.887912318622702
EGR1_TUBB2A	0.8879133984514687
THRA_ACSL3	0.8879140839886782
STAT4_GLRX	0.8879141608643405
NFIX_GLRX5	0.8879145177422936
NKX2-5_CDC42EP4	0.8879156138320841
FOXK2_MXI1	0.8879156959026844
NKX2-5_DYNC1H1	0.8879157511605114
NR4A1_CSNK1A1	0.8879161013675488
ATF2_TOM1L2	0.8879167294750767
SP100_GAS6	0.887916982010444
BHLHE40_TUBA8	0.8879173083751868
XBP1_SSR4	0.887917455068118
SRF_CSK	0.8879176873228217
NR4A1_TAF7	0.8879178568186685
ZNF146_NAA38	0.8879179139138583
MYC_COX17	0.8879182126867879
KLF7_PSMC3	0.8879183691331943
HEY1_HADHA	0.8879185272606815
NFE2L1_ADH5	0.8879185368524922
SP100_RPL22	0.8879193447425505
ZNF76_GLRX	0.8879193556107452
HEY1_LTBP2	0.8879199862295104
FOXN3_CTNNAL1	0.8879200130199559
PBX1_HINT3	0.8879203679836499
FOXJ3_WDR83OS	0.8879206295070131
ATF3_AP3D1	0.887920755888789
PPARA_CALM3	0.8879212873279824
FOS_HNRNPDL	0.8879213022829506
ZNF146_UQCRQ	0.8879215516463498
MEF2A_SLC25A20	0.8879217721844068
MAX_FDX2	0.8879223843524515
